title,category,period,ratio,adj_ratio
패션의류,50000000,2018-01-01,47.058,47.058
패션의류,50000000,2018-01-02,47.65547,47.65547
패션의류,50000000,2018-01-03,48.31463,48.31463
패션의류,50000000,2018-01-04,49.68206,49.68206
패션의류,50000000,2018-01-05,46.42339000000001,46.42339000000001
패션의류,50000000,2018-01-06,51.46312,51.46312
패션의류,50000000,2018-01-07,59.97557,59.97557
패션의류,50000000,2018-01-08,54.83133,54.83133
패션의류,50000000,2018-01-09,53.87627,53.87627
패션의류,50000000,2018-01-10,56.02059000000001,56.02059000000001
패션의류,50000000,2018-01-11,55.32303,55.32303
패션의류,50000000,2018-01-12,52.86266,52.86266
패션의류,50000000,2018-01-13,55.23489,55.23489
패션의류,50000000,2018-01-14,60.62403000000001,60.62403000000001
패션의류,50000000,2018-01-15,56.6061,56.6061
패션의류,50000000,2018-01-16,57.85831999999999,57.85831999999999
패션의류,50000000,2018-01-17,53.78561,53.78561
패션의류,50000000,2018-01-18,51.75587,51.75587
패션의류,50000000,2018-01-19,49.16455,49.16455
패션의류,50000000,2018-01-20,52.27401,52.27401
패션의류,50000000,2018-01-21,59.96864,59.96864
패션의류,50000000,2018-01-22,57.40628,57.40628
패션의류,50000000,2018-01-23,57.35592,57.35592
패션의류,50000000,2018-01-24,60.65551,60.65551
패션의류,50000000,2018-01-25,55.96393000000001,55.96393000000001
패션의류,50000000,2018-01-26,54.6305,54.6305
패션의류,50000000,2018-01-27,56.69676,56.69676
패션의류,50000000,2018-01-28,62.7715,62.7715
패션의류,50000000,2018-01-29,59.22386,59.22386
패션의류,50000000,2018-01-30,57.91561,57.91561
패션의류,50000000,2018-01-31,56.0483,56.0483
패션의류,50000000,2018-02-01,51.65073,51.65073
패션의류,50000000,2018-02-02,47.57111,47.57111
패션의류,50000000,2018-02-03,54.55684,54.55684
패션의류,50000000,2018-02-04,63.65982,63.65982
패션의류,50000000,2018-02-05,55.33373,55.33373
패션의류,50000000,2018-02-06,50.72715,50.72715
패션의류,50000000,2018-02-07,46.01858,46.01858
패션의류,50000000,2018-02-08,43.21572000000001,43.21572000000001
패션의류,50000000,2018-02-09,42.35951,42.35951
패션의류,50000000,2018-02-10,51.01487,51.01487
패션의류,50000000,2018-02-11,58.44508,58.44508
패션의류,50000000,2018-02-12,51.74643,51.74643
패션의류,50000000,2018-02-13,44.88157,44.88157
패션의류,50000000,2018-02-14,43.56451,43.56451
패션의류,50000000,2018-02-15,47.43071,47.43071
패션의류,50000000,2018-02-16,55.9696,55.9696
패션의류,50000000,2018-02-17,69.53246999999999,69.53246999999999
패션의류,50000000,2018-02-18,82.428,82.428
패션의류,50000000,2018-02-19,74.48469,74.48469
패션의류,50000000,2018-02-20,69.35745,69.35745
패션의류,50000000,2018-02-21,66.14601,66.14601
패션의류,50000000,2018-02-22,63.36518,63.36518
패션의류,50000000,2018-02-23,59.01106,59.01106
패션의류,50000000,2018-02-24,61.35307,61.35307
패션의류,50000000,2018-02-25,68.53586,68.53586
패션의류,50000000,2018-02-26,66.61881,66.61881
패션의류,50000000,2018-02-27,65.83310999999999,65.83310999999999
패션의류,50000000,2018-02-28,60.40494,60.40494
패션의류,50000000,2018-03-01,59.65008,59.65008
패션의류,50000000,2018-03-02,38.72247,38.72247
패션의류,50000000,2018-03-03,54.47122,54.47122
패션의류,50000000,2018-03-04,69.11255,69.11255
패션의류,50000000,2018-03-05,39.02592,39.02592
패션의류,50000000,2018-03-06,37.21086,37.21086
패션의류,50000000,2018-03-07,37.82847,37.82847
패션의류,50000000,2018-03-08,36.51833,36.51833
패션의류,50000000,2018-03-09,36.01971,36.01971
패션의류,50000000,2018-03-10,63.28586,63.28586
패션의류,50000000,2018-03-11,77.5847,77.5847
패션의류,50000000,2018-03-12,45.04148,45.04148
패션의류,50000000,2018-03-13,40.59985,40.59985
패션의류,50000000,2018-03-14,39.73671,39.73671
패션의류,50000000,2018-03-15,40.04142,40.04142
