title,category,period,ratio,adj_ratio
패션의류,50000000,2018-01-01,24.57246,47.058
패션의류,50000000,2018-01-02,24.884439999999998,47.655463780183176
패션의류,50000000,2018-01-03,25.22864,48.31463114071607
패션의류,50000000,2018-01-04,25.94267,49.68204912572856
패션의류,50000000,2018-01-05,24.24108,46.42338384679434
패션의류,50000000,2018-01-06,26.8727,51.46312239800166
패션의류,50000000,2018-01-07,31.31768,59.97557368859284
패션의류,50000000,2018-01-08,28.631490000000003,54.83132972522898
패션의류,50000000,2018-01-09,28.13278,53.87626477935054
패션의류,50000000,2018-01-10,29.25249,56.02058867610325
패션의류,50000000,2018-01-11,28.888240000000003,55.323024146544554
패션의류,50000000,2018-01-12,27.6035,52.86265611990008
패션의류,50000000,2018-01-13,28.84222,55.234892589508746
패션의류,50000000,2018-01-14,31.65628,60.62401665278934
패션의류,50000000,2018-01-15,29.55823,56.60610241465445
패션의류,50000000,2018-01-16,30.2121,57.85830974188176
패션의류,50000000,2018-01-17,28.085440000000002,53.78560532889259
패션의류,50000000,2018-01-18,27.02556,51.75586011656952
패션의류,50000000,2018-01-19,25.67245,49.164558701082434
패션의류,50000000,2018-01-20,27.296120000000002,52.27400166527894
패션의류,50000000,2018-01-21,31.314059999999998,59.96864113238967
패션의류,50000000,2018-01-22,29.976059999999997,57.406276436303074
패션의류,50000000,2018-01-23,29.949759999999998,57.35591007493755
패션의류,50000000,2018-01-24,31.67272,60.65550041631974
패션의류,50000000,2018-01-25,29.2229,55.96392173189009
패션의류,50000000,2018-01-26,28.52662,54.6304962531224
패션의류,50000000,2018-01-27,29.60557,56.69676186511241
패션의류,50000000,2018-01-28,32.777640000000005,62.771500416319746
패션의류,50000000,2018-01-29,30.92515,59.22385095753538
패션의류,50000000,2018-01-30,30.24202,57.915608659450456
패션의류,50000000,2018-01-31,29.266959999999997,56.04829975020815
패션의류,50000000,2018-02-01,26.97066,51.65072273105745
패션의류,50000000,2018-02-02,24.84039,47.57110491257286
패션의류,50000000,2018-02-03,28.488159999999997,54.55684263114071
패션의류,50000000,2018-02-04,33.2415,63.65982514571191
패션의류,50000000,2018-02-05,28.893829999999998,55.33372939217318
패션의류,50000000,2018-02-06,26.48839000000001,50.727141548709426
패션의류,50000000,2018-02-07,24.0297,46.01857618651124
패션의류,50000000,2018-02-08,22.56612,43.215716902581185
패션의류,50000000,2018-02-09,22.11903,42.35950791007493
패션의류,50000000,2018-02-10,26.63863,51.01486178184846
패션의류,50000000,2018-02-11,30.518490000000003,58.44506827643631
패션의류,50000000,2018-02-12,27.02063,51.74641881765196
패션의류,50000000,2018-02-13,23.435979999999997,44.88156036636136
패션의류,50000000,2018-02-14,22.74825,43.5645087427144
패션의류,50000000,2018-02-15,24.76708,47.43071107410491
패션의류,50000000,2018-02-16,29.225859999999997,55.96959034138218
패션의류,50000000,2018-02-17,36.30804000000001,69.53246627810161
패션의류,50000000,2018-02-18,43.04175,82.4279975020816
패션의류,50000000,2018-02-19,38.89396,74.4846860949209
패션의류,50000000,2018-02-20,36.21665,69.35744796003331
패션의류,50000000,2018-02-21,34.53972,66.14600832639468
