title,category,period,ratio,adj_ratio
패션의류,50000000,2018-01-01,36.42259,36.42259
패션의류,50000000,2018-01-02,32.080870000000004,32.080870000000004
패션의류,50000000,2018-01-03,33.38451,33.38451
패션의류,50000000,2018-01-04,33.09512,33.09512
패션의류,50000000,2018-01-05,30.95311,30.95311
패션의류,50000000,2018-01-06,37.02556,37.02556
패션의류,50000000,2018-01-07,41.86416,41.86416
패션의류,50000000,2018-01-08,34.425740000000005,34.425740000000005
패션의류,50000000,2018-01-09,33.27471,33.27471
패션의류,50000000,2018-01-10,34.40713,34.40713
패션의류,50000000,2018-01-11,35.12082,35.12082
패션의류,50000000,2018-01-12,31.99899000000001,31.99899000000001
패션의류,50000000,2018-01-13,38.59066,38.59066
패션의류,50000000,2018-01-14,43.15756,43.15756
패션의류,50000000,2018-01-15,31.034990000000004,31.034990000000004
패션의류,50000000,2018-01-16,32.40655,32.40655
패션의류,50000000,2018-01-17,31.934790000000003,31.934790000000003
패션의류,50000000,2018-01-18,30.066340000000004,30.066340000000004
패션의류,50000000,2018-01-19,28.18301,28.18301
패션의류,50000000,2018-01-20,34.53647,34.53647
패션의류,50000000,2018-01-21,40.23485,40.23485
패션의류,50000000,2018-01-22,31.53374,31.53374
패션의류,50000000,2018-01-23,33.59666,33.59666
패션의류,50000000,2018-01-24,34.38293,34.38293
패션의류,50000000,2018-01-25,34.60253,34.60253
패션의류,50000000,2018-01-26,31.97852,31.97852
패션의류,50000000,2018-01-27,40.2423,40.2423
패션의류,50000000,2018-01-28,44.82408,44.82408
패션의류,50000000,2018-01-29,36.78735,36.78735
패션의류,50000000,2018-01-30,34.36711,34.36711
패션의류,50000000,2018-01-31,32.64941,32.64941
패션의류,50000000,2018-02-01,31.38021,31.38021
패션의류,50000000,2018-02-02,29.195390000000003,29.195390000000003
패션의류,50000000,2018-02-03,36.42817,36.42817
패션의류,50000000,2018-02-04,44.7636,44.7636
패션의류,50000000,2018-02-05,34.6137,34.6137
패션의류,50000000,2018-02-06,32.941590000000005,32.941590000000005
패션의류,50000000,2018-02-07,31.449990000000003,31.449990000000003
패션의류,50000000,2018-02-08,30.1017,30.1017
패션의류,50000000,2018-02-09,25.69019,25.69019
패션의류,50000000,2018-02-10,29.93979,29.93979
패션의류,50000000,2018-02-11,37.36054,37.36054
패션의류,50000000,2018-02-12,27.39022000000001,27.39022000000001
패션의류,50000000,2018-02-13,24.66757,24.66757
패션의류,50000000,2018-02-14,22.9629,22.9629
패션의류,50000000,2018-02-15,24.82204,24.82204
패션의류,50000000,2018-02-16,25.31241,25.31241
패션의류,50000000,2018-02-17,34.2722,34.2722
패션의류,50000000,2018-02-18,37.38473,37.38473
패션의류,50000000,2018-02-19,30.4618,30.4618
패션의류,50000000,2018-02-20,27.12968,27.12968
패션의류,50000000,2018-02-21,28.16905,28.16905
패션의류,50000000,2018-02-22,28.85576,28.85576
패션의류,50000000,2018-02-23,25.73393,25.73393
패션의류,50000000,2018-02-24,32.48471,32.48471
패션의류,50000000,2018-02-25,38.58228,38.58228
패션의류,50000000,2018-02-26,31.056390000000004,31.056390000000004
패션의류,50000000,2018-02-27,30.95776,30.95776
패션의류,50000000,2018-02-28,31.74775,31.74775
패션의류,50000000,2018-03-01,41.35983,41.35983
패션의류,50000000,2018-03-02,30.4832,30.4832
패션의류,50000000,2018-03-03,37.33262,37.33262
패션의류,50000000,2018-03-04,47.74213,47.74213
패션의류,50000000,2018-03-05,34.4369,34.4369
패션의류,50000000,2018-03-06,32.51635,32.51635
패션의류,50000000,2018-03-07,33.27005,33.27005
패션의류,50000000,2018-03-08,34.449,34.449
패션의류,50000000,2018-03-09,28.93113,28.93113
패션의류,50000000,2018-03-10,36.37793,36.37793
패션의류,50000000,2018-03-11,43.74749,43.74749
패션의류,50000000,2018-03-12,35.41300000000001,35.41300000000001
패션의류,50000000,2018-03-13,36.16112,36.16112
패션의류,50000000,2018-03-14,33.03185,33.03185
패션의류,50000000,2018-03-15,36.54821,36.54821
패션의류,50000000,2018-03-16,30.33712,30.33712
패션의류,50000000,2018-03-17,38.45201,38.45201
패션의류,50000000,2018-03-18,47.95243,47.95243
패션의류,50000000,2018-03-19,36.71756,36.71756
패션의류,50000000,2018-03-20,33.97072,33.97072
패션의류,50000000,2018-03-21,33.31565,33.31565
패션의류,50000000,2018-03-22,30.35852,30.35852
패션의류,50000000,2018-03-23,27.43767,27.43767
패션의류,50000000,2018-03-24,35.22783,35.22783
패션의류,50000000,2018-03-25,42.9668,42.9668
패션의류,50000000,2018-03-26,32.75642,32.75642
패션의류,50000000,2018-03-27,33.30355,33.30355
패션의류,50000000,2018-03-28,32.14508,32.14508
패션의류,50000000,2018-03-29,31.86872,31.86872
패션의류,50000000,2018-03-30,28.75526,28.75526
패션의류,50000000,2018-03-31,36.13972,36.13972
패션의류,50000000,2018-04-01,44.96087,44.96087
패션의류,50000000,2018-04-02,33.03371,33.03371
패션의류,50000000,2018-04-03,35.20922,35.20922
패션의류,50000000,2018-04-04,35.00451,35.00451
패션의류,50000000,2018-04-05,31.27971,31.27971
패션의류,50000000,2018-04-06,29.7081,29.7081
패션의류,50000000,2018-04-07,35.75728,35.75728
패션의류,50000000,2018-04-08,39.9799,39.9799
패션의류,50000000,2018-04-09,31.43697,31.43697
패션의류,50000000,2018-04-10,31.7645,31.7645
패션의류,50000000,2018-04-11,32.10972,32.10972
패션의류,50000000,2018-04-12,31.96642,31.96642
패션의류,50000000,2018-04-13,29.43546,29.43546
패션의류,50000000,2018-04-14,40.25532000000001,40.25532000000001
패션의류,50000000,2018-04-15,41.96745,41.96745
패션의류,50000000,2018-04-16,32.20928,32.20928
패션의류,50000000,2018-04-17,31.75985,31.75985
패션의류,50000000,2018-04-18,31.31228,31.31228
패션의류,50000000,2018-04-19,30.968000000000004,30.968000000000004
패션의류,50000000,2018-04-20,29.29775,29.29775
패션의류,50000000,2018-04-21,36.65429,36.65429
패션의류,50000000,2018-04-22,44.13458,44.13458
패션의류,50000000,2018-04-23,36.00666,36.00666
패션의류,50000000,2018-04-24,33.37985,33.37985
패션의류,50000000,2018-04-25,29.93328,29.93328
패션의류,50000000,2018-04-26,31.00894000000001,31.00894000000001
패션의류,50000000,2018-04-27,27.601440000000004,27.601440000000004
패션의류,50000000,2018-04-28,33.45429,33.45429
패션의류,50000000,2018-04-29,40.71313,40.71313
패션의류,50000000,2018-04-30,32.1702,32.1702
패션의류,50000000,2018-05-01,41.07603,41.07603
패션의류,50000000,2018-05-02,35.118959999999994,35.118959999999994
패션의류,50000000,2018-05-03,30.04029,30.04029
패션의류,50000000,2018-05-04,27.51118,27.51118
패션의류,50000000,2018-05-05,33.3752,33.3752
패션의류,50000000,2018-05-06,41.9293,41.9293
패션의류,50000000,2018-05-07,40.68522,40.68522
패션의류,50000000,2018-05-08,32.266040000000004,32.266040000000004
패션의류,50000000,2018-05-09,32.523790000000005,32.523790000000005
패션의류,50000000,2018-05-10,31.57003,31.57003
패션의류,50000000,2018-05-11,29.73787,29.73787
패션의류,50000000,2018-05-12,38.5674,38.5674
패션의류,50000000,2018-05-13,42.95006,42.95006
패션의류,50000000,2018-05-14,32.9267,32.9267
