년,월,구군,읍면동,남자 전체 유동인구,여자 전체 유동인구
2016,1,중구,남포동,11704,11574
2016,2,중구,남포동,56326,55719
2016,3,중구,남포동,54712,54788
2016,4,중구,남포동,56407,57375
2016,5,중구,남포동,56845,58455
2016,6,중구,남포동,54601,55433
2016,7,중구,남포동,12402,12565
2016,8,중구,남포동,13019,13215
2016,9,중구,남포동,13090,13165
2016,10,중구,남포동,13441,13591
2016,11,중구,남포동,13290,13444
2016,12,중구,남포동,15613,16695
2016,1,부산진구,부전제1동,8286,8388
2016,2,부산진구,부전제1동,25896,26051
2016,3,부산진구,부전제1동,27266,27612
2016,4,부산진구,부전제1동,26165,26770
2016,5,부산진구,부전제1동,26273,27316
2016,6,부산진구,부전제1동,26609,27435
2016,7,부산진구,부전제1동,16327,17174
2016,8,부산진구,부전제1동,17367,18243
2016,9,부산진구,부전제1동,18784,19958
2016,10,부산진구,부전제1동,19222,20662
2016,11,부산진구,부전제1동,19708,21241
2016,12,부산진구,부전제1동,16506,17356
2016,1,부산진구,부전제2동,15901,17512
2016,2,부산진구,부전제2동,44000,47677
2016,3,부산진구,부전제2동,41693,45661
2016,4,부산진구,부전제2동,40665,43810
2016,5,부산진구,부전제2동,41334,45261
2016,6,부산진구,부전제2동,41047,44351
2016,7,부산진구,부전제2동,31102,33744
2016,8,부산진구,부전제2동,33676,36708
2016,9,부산진구,부전제2동,34526,37182
2016,10,부산진구,부전제2동,34080,37333
2016,11,부산진구,부전제2동,34212,37454
2016,12,부산진구,부전제2동,38545,43855
2016,1,해운대구,우제1동,11588,12880
2016,2,해운대구,우제1동,8566,9429
2016,3,해운대구,우제1동,8213,9215
2016,4,해운대구,우제1동,8213,9210
2016,5,해운대구,우제1동,8603,9740
2016,6,해운대구,우제1동,9374,10393
2016,7,해운대구,우제1동,29805,32924
2016,8,해운대구,우제1동,29762,33070
2016,9,해운대구,우제1동,24976,28399
2016,10,해운대구,우제1동,25264,28748
2016,11,해운대구,우제1동,26068,29226
2016,12,해운대구,우제1동,30471,34844
2016,1,해운대구,우제2동,13011,15326
2016,2,해운대구,우제2동,11236,13103
2016,3,해운대구,우제2동,11192,13776
2016,4,해운대구,우제2동,10612,13195
2016,5,해운대구,우제2동,10876,13720
2016,6,해운대구,우제2동,11626,14099
2016,7,해운대구,우제2동,28540,35135
2016,8,해운대구,우제2동,29984,36571
2016,9,해운대구,우제2동,27521,33096
2016,10,해운대구,우제2동,28609,33999
2016,11,해운대구,우제2동,28849,33996
2016,12,해운대구,우제2동,33555,44038
2016,1,사상구,괘법동,9472,8093
2016,2,사상구,괘법동,9506,8172
2016,3,사상구,괘법동,9247,8011
2016,4,사상구,괘법동,9263,8118
2016,5,사상구,괘법동,9395,8519
2016,6,사상구,괘법동,9253,8267
2016,7,사상구,괘법동,25550,22878
2016,8,사상구,괘법동,26328,23487
2016,9,사상구,괘법동,26989,24397
2016,10,사상구,괘법동,27655,25109
2016,11,사상구,괘법동,28178,25116
2016,12,사상구,괘법동,21450,19996
2017,1,중구,광복동,8397,8555
2017,2,중구,광복동,7240,7701
2017,3,중구,광복동,6776,7256
2017,4,중구,광복동,6672,7153
2017,5,중구,광복동,6997,7631
2017,6,중구,광복동,6744,7275
2017,7,중구,광복동,7502,6871
2017,8,중구,광복동,8180,7585
2017,9,중구,광복동,6758,6184
2017,10,중구,광복동,7682,7351
2017,11,중구,광복동,6246,5983
2017,12,중구,광복동,5181,4871
2017,1,부산진구,부전제1동,43978,46831
2017,2,부산진구,부전제1동,30741,32782
2017,3,부산진구,부전제1동,29127,31267
2017,4,부산진구,부전제1동,29166,31260
2017,5,부산진구,부전제1동,29009,31325
