기준연월,분석영역,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
201401,부전1동,28565,30196,35005,39488,44473,45363,32524,21974,21436,25425,28435,31860,34212,36594,37330,37664,34608,35687,35346,32297,30230,29086,29886,28726
201401,괘법동,59566,62728,67115,65726,60430,54691,45530,38425,40235,44301,45684,47171,48974,51175,51621,52144,48691,52252,54063,51654,53983,54579,55392,55396
201401,남포동,22988,25924,26982,25613,24398,21675,16155,12415,11291,12931,14697,17790,20951,23065,24738,25479,23695,24845,24438,24340,24536,23078,23039,21311
201401,부전2동,120001,144693,170073,176475,166859,113591,55837,32797,31650,40799,49193,56843,64087,69365,70994,73772,69375,74122,77482,80155,83390,85940,96067,101179
201401,우1동,84237,93590,105251,104698,95102,68782,52122,49332,48293,53146,53412,52325,51416,52693,53300,54063,50664,53837,52451,53361,59622,63400,69820,73891
201401,우2동,42630,37718,35386,32362,32109,32533,32199,34712,42580,53601,57659,61659,65868,71827,73869,74242,69015,70119,68258,62417,61199,55029,50209,44535
201402,부전1동,29972,33102,37643,42468,48291,45600,29898,19679,19819,26523,27491,33353,35841,37966,38722,32679,33138,33653,33372,30673,30371,28627,27173,27236
201402,남포동,30404,34188,36936,37044,36199,33619,24336,16383,14820,18327,18652,23823,27680,30120,32146,27671,28446,29672,29918,28923,30414,28535,26334,26432
201402,괘법동,60112,63351,66850,65029,60294,55593,47599,37606,39849,47962,45830,52071,54487,56050,56434,47926,49242,52768,56463,52815,57330,56371,52713,55174
201402,우1동,86963,96930,107982,110254,101050,69227,50064,43645,47419,55745,52298,56682,56432,57332,58487,50116,51832,54731,54685,54638,62829,66083,68317,75571
201402,우2동,42643,37823,35621,32467,32634,30910,31630,34034,42415,54745,55336,64293,69726,72840,75178,63556,65083,66357,66902,61359,61067,56339,49885,45469
201402,부전2동,130024,156158,183221,187643,177602,113478,53461,30385,31146,44435,49665,63417,73117,79130,81809,70744,73812,78402,84216,86633,93498,93542,97299,105931
201403,괘법동,60704,65176,67789,65354,61329,55382,43907,36510,40786,49095,47879,48419,50999,51556,52804,54053,51122,48315,57295,55830,54824,54936,54189,56692
201403,부전1동,30261,34198,40193,45943,50858,46295,28041,19157,19753,26720,28512,30728,32371,34370,35091,35760,33063,30222,33810,32060,29021,27531,27136,27829
201403,남포동,28476,33086,36350,36559,36548,32590,22585,15288,14145,17394,18444,21275,24043,26005,27334,28083,26244,24552,27993,28141,26956,25682,24578,25069
201403,부전2동,123788,152367,177622,182527,168767,105132,46489,28173,30192,43362,49488,56007,62469,67160,68534,71357,67981,65482,79590,84553,83510,84846,92269,101565
201403,우1동,83553,96958,111690,111941,102712,70125,47937,44667,46753,53758,51702,49807,48783,50504,52310,54595,51581,48149,53864,55644,57423,61363,65145,73083
201403,우2동,40990,36620,34677,31297,31140,29907,31147,35057,41182,53400,56102,56749,59706,63058,66104,67546,63416,57600,64675,61035,55247,52492,47070,44289
201404,남포동,12403,13984,14927,14691,13500,11518,8508,6407,6426,8470,9387,12346,13998,13775,14312,14451,13465,14090,14335,14880,13998,13158,12249,11517
201404,우1동,76134,86630,100190,101458,92062,61117,43757,41684,45490,51810,49483,51984,50126,47752,49660,51551,48728,50625,50300,52732,53890,57114,61486,67083
201404,괘법동,54058,57485,59421,56745,52181,48158,40040,35312,40889,48551,47222,52004,53277,49424,50975,51288,47994,51292,53616,52869,50966,50611,50576,51073
201404,부전1동,22397,25261,29972,34121,36255,31497,19204,13390,14351,19313,20633,24187,24952,24014,24660,24878,22741,23375,23862,23379,21129,20264,20330,20722
201404,부전2동,116576,142624,165434,173757,152705,88888,41617,28331,31190,43805,48844,58689,62421,60856,61979,63926,60003,64717,69614,76508,76343,79598,88495,97303
201404,우2동,38988,35619,34704,31975,30629,29171,29286,32060,38907,48683,48854,52866,53293,50310,52180,52908,49439,51238,51582,49418,46430,45143,42991,41513
201405,남포동,12778,13333,13899,13071,12098,10547,8686,7376,7267,9493,10942,12585,15746,15256,16068,16538,15319,16095,16017,15372,15261,14327,13527,12497
201405,부전1동,22655,25243,28663,32753,34143,30665,20850,15369,15047,19370,21488,22780,26223,24758,25466,25724,23418,24228,24471,22479,21301,20685,21196,21631
201405,우1동,78074,88109,98672,101027,92993,59155,42449,42509,44484,50672,51573,49079,52940,48870,50700,52402,49122,51231,50704,49637,53727,57976,65837,72413
201405,우2동,41091,38158,36592,34439,34017,29498,29201,33919,39819,49020,51811,51052,57528,53001,54237,54701,50096,51214,50935,45698,44707,45376,45477,44006
201405,괘법동,52183,55168,56646,54433,51373,43948,38625,36000,38715,45522,47046,46622,52964,47981,48998,49321,45977,49010,50715,46807,47316,47736,49567,50959
201405,부전2동,117870,145011,168028,175016,159423,86291,42313,30031,30629,41431,48273,52596,62828,60332,61930,63740,59926,64892,69094,69903,73248,77991,91143,101924
201406,우2동,42598,38306,35685,32677,31820,28974,30252,34475,43091,55955,60717,64565,75173,72593,76170,77755,71622,71561,68643,65815,56585,56318,50207,46531
201406,우1동,87429,97336,109377,110804,99129,63871,45440,43263,48695,55775,54289,53043,56778,53731,56162,58529,55355,57057,56112,59439,58526,67105,71174,78024
