기준연월,분석영역,10대,20대,30대,40대,50대,60대,70대 이상
201401,부전1동,1324,5657,6943,6864,7412,4084,1888
201401,괘법동,2648,8322,10544,12441,12661,4561,1704
201401,남포동,1330,4031,4482,4681,4684,2407,1033
201401,부전2동,4003,21362,17241,13213,11256,5029,2252
201401,우1동,3626,8048,13501,13460,11559,5535,2495
201401,우2동,4025,9831,16989,15650,11509,5076,2200
201402,부전1동,1333,5298,6741,6800,7223,3915,1763
201402,남포동,1777,4709,5041,5550,6148,3293,1408
201402,괘법동,2938,8660,10728,12625,12852,4654,1700
201402,우1동,4063,8406,13648,13775,11578,5490,2474
201402,우2동,4520,9669,16005,15030,11136,4989,2159
201402,부전2동,5148,23375,17833,13866,11494,5049,2213
201402,부전1동,1333,5298,6741,6800,7223,3915,1763
201402,남포동,1777,4709,5041,5550,6148,3293,1408
201402,괘법동,2938,8660,10728,12625,12852,4654,1700
201402,우1동,4063,8406,13648,13775,11578,5490,2474
201402,우2동,4520,9669,16005,15030,11136,4989,2159
201402,부전2동,5148,23375,17833,13866,11494,5049,2213
201403,괘법동,3362,9742,10661,12646,12770,4580,1679
201403,부전1동,1271,5242,6834,6845,7287,3937,1791
201403,남포동,1370,4373,4845,5229,5911,3224,1373
201403,부전2동,4323,21362,17348,13280,11114,4889,2158
201403,우1동,3715,7472,13766,13840,11522,5489,2484
201403,우2동,3848,8824,15978,14802,10913,4907,2084
201404,남포동,641,2318,2569,2544,2876,1705,723
201404,우1동,3492,6876,12975,12936,10984,5270,2414
201404,괘법동,2957,8997,10191,12138,12304,4499,1610
201404,부전1동,834,3374,4774,4861,5416,3007,1365
201404,부전2동,3565,18813,16318,12403,10583,4757,2048
201404,우2동,3188,6980,12873,12258,9455,4300,1845
201405,남포동,934,2453,2768,3031,3234,1766,789
201405,부전1동,1001,3368,4790,5130,5814,3086,1413
201405,우1동,3747,7272,12970,13116,11511,5447,2366
201405,우2동,3627,7240,13005,12354,10012,4487,1865
201405,괘법동,3002,8458,9804,11892,11924,4460,1638
201405,부전2동,4376,18961,15635,12212,10635,4715,2067
201406,우2동,4165,10445,17401,15784,11579,4880,2056
201406,우1동,4016,8632,14423,14099,11791,5474,2355
201406,부전1동,1159,4940,6635,6703,7261,3879,1688
201406,남포동,1256,4028,4606,5134,5582,2888,1231
201406,부전2동,3710,19491,16097,12451,10452,4605,1938
201406,괘법동,2604,7744,9025,10926,11077,4076,1494
201406,우2동,4165,10445,17401,15784,11579,4880,2056
201406,우1동,4016,8632,14423,14099,11791,5474,2355
201406,부전1동,1159,4940,6635,6703,7261,3879,1688
201406,남포동,1256,4028,4606,5134,5582,2888,1231
201406,부전2동,3710,19491,16097,12451,10452,4605,1938
201406,괘법동,2604,7744,9025,10926,11077,4076,1494
201407,우1동,4145,8720,13901,14016,11848,5480,2306
201407,부전2동,4027,18801,14807,11995,10191,4539,1943
201407,괘법동,2608,7444,9523,11637,11468,4244,1549
201407,부전1동,1389,4944,6155,6433,6920,3694,1683
201407,남포동,1411,3880,4462,5177,5499,2780,1212
201407,우2동,4341,9545,15920,15032,11046,4667,1917
201408,우1동,4578,10355,15105,14628,12353,5754,2443
201408,부전1동,1467,5615,6637,6717,7256,3884,1764
201408,부전2동,4702,22724,16891,13217,10819,4659,2016
201408,우2동,4948,10880,16994,15739,11717,4994,2005
201408,남포동,1646,4562,5102,5656,5954,3021,1311
201408,괘법동,2966,8439,9905,12040,12008,4478,1641
201409,부전2동,4416,22091,17269,13058,10657,4604,1991
201409,부전1동,1395,5776,6948,6829,7395,4033,1834
201409,우1동,3779,8275,14347,13867,11466,5408,2346
201409,괘법동,3023,9277,10155,12023,11929,4337,1582
201409,남포동,1488,4504,5009,5195,5649,3004,1269
201409,우2동,4019,10489,17209,15453,11387,4852,1990
201410,부전2동,4373,19916,16419,13118,10859,4614,1978
201410,우2동,4223,10167,16467,15193,11296,4827,1961
201410,우1동,4174,8471,14771,14481,12031,5614,2383
201410,괘법동,3034,8422,9501,11517,11453,4178,1496
201410,남포동,1477,3956,4699,5112,5571,2938,1248
201410,부전1동,1485,5400,6692,6794,7270,3828,1722
201411,부전2동,4991,22219,16831,13248,10655,4432,1918
201411,우2동,5445,9927,15918,14465,10412,4388,1825
201411,우1동,4234,8398,14926,14657,11931,5503,2401
201411,부전1동,1597,5978,6952,7040,7523,3944,1768
201411,괘법동,2975,8487,9163,11193,11175,4053,1439
201411,남포동,1538,4079,4570,4922,5333,2837,1177
201412,남포동,1865,4320,4836,5294,5652,2971,1217
201412,부전2동,5330,22619,17305,14134,11223,4636,1981
201412,우1동,4394,8689,15101,15015,12137,5570,2418
201412,괘법동,2873,8342,9358,11515,11413,4096,1425
201412,부전1동,1560,5980,7071,7233,7716,3986,1782
201412,우2동,4516,10140,16630,15526,11081,4632,1905
201501,부전1동,1301,6323,7348,7409,7901,4678,2093
201501,부전2동,4053,23431,17577,13759,11281,5249,2215
201501,우2동,3835,8984,15539,15092,10926,5266,2098
201501,괘법동,2218,7423,9210,10935,11614,4652,1605
201501,남포동,1481,4157,4730,5276,5680,3506,1437
201501,우1동,3870,8250,14270,15016,12141,6287,2729
201502,남포동,1671,4443,4660,5070,5324,3224,1325
201502,부전1동,1418,6341,7025,7093,7531,4491,1996
201502,우2동,4044,9065,14848,14469,10421,5027,2033
201502,괘법동,2152,6951,8033,9490,10444,4252,1492
201502,부전2동,4855,24148,17409,13408,10929,5109,2183
201502,우1동,4089,8531,13922,14522,11814,6168,2715
201503,남포동,1247,3943,4441,4775,5192,3176,0
201503,괘법동,2694,8092,8479,10294,11239,4544,0
201503,부전2동,4338,22614,17496,13827,11549,5447,0
201503,우1동,3978,7873,14859,15425,12551,6568,0
201503,부전1동,1436,6515,7482,7640,8156,4753,0
201503,우2동,3697,8981,15975,15450,11072,5364,0
201504,우1동,3948,7820,14863,15349,12329,6345,0
201504,괘법동,2587,7822,8385,10096,10988,4478,0
201504,남포동,1071,3562,4317,4604,5053,3114,0
201504,부전2동,3650,20975,17169,13483,11173,5333,0
201504,부전1동,1263,6278,7469,7465,7979,4664,0
201504,우2동,3415,8615,15420,14944,10740,5133,0
201504,우1동,3948,7820,14863,15349,12329,6345,0
201504,괘법동,2587,7822,8385,10096,10988,4478,0
201504,남포동,1071,3562,4317,4604,5053,3114,0
201504,부전2동,3650,20975,17169,13483,11173,5333,0
201504,부전1동,1263,6278,7469,7465,7979,4664,0
201504,우2동,3415,8615,15420,14944,10740,5133,0
201505,남포동,1524,3865,4393,4721,4968,3009,0
201505,우1동,4770,8944,15582,15939,12579,6408,0
201505,부전1동,1577,6529,7314,7269,7714,4580,0
201505,우2동,4467,9484,16151,15447,10905,5290,0
201505,괘법동,2799,7854,8099,9639,10498,4324,0
201505,부전2동,4771,22702,17245,13293,10954,5248,0
201506,우2동,3269,8344,13619,13911,10551,5082,0
201506,괘법동,2110,6897,7617,9673,10755,4296,0
201506,남포동,925,3297,3702,4234,4820,2914,0
201506,부전1동,993,5265,6326,6670,7551,4470,0
201506,부전2동,3073,18917,14915,11883,10289,4825,0
201506,우1동,4005,8401,14362,15164,12626,6403,0
201507,남포동,1255,3384,3810,4505,5025,2992,0
201507,부전1동,1100,5011,6076,6538,7352,4456,0
201507,우2동,4211,9460,15472,15755,11445,5455,0
201507,괘법동,2011,6083,7599,9820,10832,4302,0
201507,부전2동,3681,19043,14560,12052,10241,4924,0
201507,우1동,4740,9450,14493,15432,12462,6340,0
201508,남포동,1442,3923,4239,4870,5334,3190,0
201508,우2동,5094,10953,16945,17082,12475,5972,0
201508,부전1동,1167,5299,6166,6526,7369,4497,0
201508,부전2동,4038,20937,15236,12331,10476,5002,0
201508,우1동,5579,12471,16895,17399,14083,7166,0
201508,괘법동,2326,6941,8042,10259,11263,4509,0
201509,부전2동,3513,18605,14361,11584,10093,4925,0
201509,우2동,3932,9463,15757,15765,11859,5730,0
201509,우1동,4094,8015,13962,14623,12477,6579,0
201509,부전1동,1153,5235,6200,6515,7457,4624,0
201509,남포동,1177,3395,3965,4515,5099,3163,0
201509,괘법동,2353,7120,7609,9848,10910,4436,0
201510,부전1동,1257,5216,6151,6476,7465,4548,1940
201510,우1동,4587,8798,14931,15568,13170,6860,2992
201510,괘법동,2448,6939,7566,9924,11141,4513,1542
201510,부전2동,4048,19196,14821,12111,10688,5199,2093
201510,우2동,4209,10322,16739,16208,12198,5882,2252
201510,남포동,1366,3367,3938,4576,5214,3207,1281
201511,부전1동,1292,5355,6183,6627,7699,4654,1941
201511,괘법동,2452,6925,7406,9897,11030,4454,1515
