斥,备焙,谰搁悼,夸老,岿,林吝/林富,乞闭 蜡悼牢备
2019,吝备,巢器悼,老,2,林富,"39,278"
2019,吝备,巢器悼,岿,2,林吝,"30,755"
2019,吝备,巢器悼,拳,2,林吝,"27,535"
2019,吝备,巢器悼,荐,2,林吝,"30,494"
2019,吝备,巢器悼,格,2,林吝,"28,789"
2019,吝备,巢器悼,陛,2,林吝,"28,163"
2019,吝备,巢器悼,配,2,林富,"39,583"
2019,何魂柳备,何傈力1悼,老,2,林富,"66,314"
2019,何魂柳备,何傈力1悼,岿,2,林吝,"60,716"
2019,何魂柳备,何傈力1悼,拳,2,林吝,"57,976"
2019,何魂柳备,何傈力1悼,荐,2,林吝,"63,802"
2019,何魂柳备,何傈力1悼,格,2,林吝,"66,515"
2019,何魂柳备,何傈力1悼,陛,2,林吝,"67,755"
2019,何魂柳备,何傈力1悼,配,2,林富,"74,348"
2019,何魂柳备,何傈力2悼,老,2,林富,"99,785"
2019,何魂柳备,何傈力2悼,岿,2,林吝,"86,742"
2019,何魂柳备,何傈力2悼,拳,2,林吝,"84,715"
2019,何魂柳备,何傈力2悼,荐,2,林吝,"93,490"
2019,何魂柳备,何傈力2悼,格,2,林吝,"96,290"
2019,何魂柳备,何傈力2悼,陛,2,林吝,"98,403"
2019,何魂柳备,何傈力2悼,配,2,林富,"113,060"
2019,秦款措备,快力1悼,老,2,林富,"77,376"
2019,秦款措备,快力1悼,岿,2,林吝,"67,611"
2019,秦款措备,快力1悼,拳,2,林吝,"66,739"
2019,秦款措备,快力1悼,荐,2,林吝,"66,261"
2019,秦款措备,快力1悼,格,2,林吝,"65,609"
2019,秦款措备,快力1悼,陛,2,林吝,"64,126"
2019,秦款措备,快力1悼,配,2,林富,"74,101"
2019,秦款措备,快力2悼,老,2,林富,"103,338"
2019,秦款措备,快力2悼,岿,2,林吝,"79,625"
2019,秦款措备,快力2悼,拳,2,林吝,"80,680"
2019,秦款措备,快力2悼,荐,2,林吝,"81,543"
2019,秦款措备,快力2悼,格,2,林吝,"80,399"
2019,秦款措备,快力2悼,陛,2,林吝,"79,680"
2019,秦款措备,快力2悼,配,2,林富,"92,216"
2019,荤惑备,饱过悼,老,2,林富,"61,735"
2019,荤惑备,饱过悼,岿,2,林吝,"56,218"
2019,荤惑备,饱过悼,拳,2,林吝,"56,647"
2019,荤惑备,饱过悼,荐,2,林吝,"59,196"
2019,荤惑备,饱过悼,格,2,林吝,"58,107"
2019,荤惑备,饱过悼,陛,2,林吝,"57,921"
2019,荤惑备,饱过悼,配,2,林富,"63,617"
2019,吝备,巢器悼,老,1,林富,"38,379"
2019,吝备,巢器悼,岿,1,林吝,"28,550"
2019,吝备,巢器悼,拳,1,林吝,"31,491"
2019,吝备,巢器悼,荐,1,林吝,"28,873"
2019,吝备,巢器悼,格,1,林吝,"27,721"
2019,吝备,巢器悼,陛,1,林吝,"30,083"
2019,吝备,巢器悼,配,1,林富,"40,573"
2019,何魂柳备,何傈力1悼,老,1,林富,"61,635"
2019,何魂柳备,何傈力1悼,岿,1,林吝,"66,440"
